lemma,poscode,surface
Alaska blueberry,3,Alaska blueberry
Hyacinth bean,3,Hyacinth bean
Irish moss,3,Irish moss
Pacific jack mackerel,3,Pacific jack mackerel
Jackfruit,3,Jackfruit
Japanese chestnut,3,Japanese chestnut
Java plum,3,Java plum
Jerusalem artichoke,3,Jerusalem artichoke
Jujube,3,Jujube
Jute,3,Jute
Kale,3,Kale
Kelp,3,Kelp
King mackerel,3,King mackerel
Kumquat,3,Kumquat
Lambsquarters,3,Lambsquarters
Leather chiton,3,Leather chiton
Wild leek,3,Wild leek
Common ling,3,Common ling
Lingcod,3,Lingcod
American lobster,3,American lobster
Loganberry,3,Loganberry
Lotus,3,Lotus
Sacred lotus,3,Sacred lotus
White lupine,3,White lupine
Malabar spinach,3,Malabar spinach
Mammee apple,3,Mammee apple
Purple mangosteen,3,Purple mangosteen
Alpine sweetvetch,3,Alpine sweetvetch
Milkfish,3,Milkfish
Monkfish,3,Monkfish
Moose,3,Moose
Moth bean,3,Moth bean
Mountain yam,3,Mountain yam
Striped mullet,3,Striped mullet
Muskrat,3,Muskrat
White mustard,3,White mustard
Mustard spinach,3,Mustard spinach
New Zealand spinach,3,New Zealand spinach
Nopal,3,Nopal
Ocean pout,3,Ocean pout
North Pacific giant octopus,3,North Pacific giant octopus
Ohelo berry,3,Ohelo berry
Okra,3,Okra
Tunicate,3,Tunicate
Opossum,3,Opossum
Ostrich,3,Ostrich
Spotted seal,3,Spotted seal
Pacific herring,3,Pacific herring
Pacific oyster,3,Pacific oyster
Pacific rockfish,3,Pacific rockfish
Velvet duck,3,Velvet duck
Common persimmon,3,Common persimmon
Pheasant,3,Pheasant
Northern pike,3,Northern pike
Pili nut,3,Pili nut
Colorado pinyon,3,Colorado pinyon
Pitanga,3,Pitanga
Plains prickly pear,3,Plains prickly pear
French plantain,3,French plantain
American pokeweed,3,American pokeweed
Polar bear,3,Polar bear
Opium poppy,3,Opium poppy
Prairie turnip,3,Prairie turnip
Prickly pear,3,Prickly pear
Quinoa,3,Quinoa
European rabbit,3,European rabbit
Raccoon,3,Raccoon
Rainbow smelt,3,Rainbow smelt
Rainbow trout,3,Rainbow trout
Malabar plum,3,Malabar plum
Rose hip,3,Rose hip
Roselle,3,Roselle
Orange roughy,3,Orange roughy
Sablefish,3,Sablefish
Pink salmon,3,Pink salmon
Chum salmon,3,Chum salmon
Coho salmon,3,Coho salmon
Sockeye salmon,3,Sockeye salmon
Chinook salmon,3,Chinook salmon
Atlantic salmon,3,Atlantic salmon
Salmonberry,3,Salmonberry
Common salsify,3,Common salsify
Sapodilla,3,Sapodilla
Mamey sapote,3,Mamey sapote
Spanish mackerel,3,Spanish mackerel
Pacific sardine,3,Pacific sardine
Scallop,3,Scallop
Scup,3,Scup
Sea cucumber,3,Sea cucumber
Steller sea lion,3,Steller sea lion
Bearded seal,3,Bearded seal
Ringed seal,3,Ringed seal
Seatrout,3,Seatrout
Sesbania flower,3,Sesbania flower
American shad,3,American shad
Shark,3,Shark
Sheefish,3,Sheefish
Sheep ,3,Sheep 
Sheepshead,3,Sheepshead
Hedge mustard,3,Hedge mustard
Skipjack tuna,3,Skipjack tuna
Snapper,3,Snapper
Soursop,3,Soursop
Spelt,3,Spelt
Spirulina,3,Spirulina
Squab,3,Squab
Squirrel,3,Squirrel
Strawberry guava,3,Strawberry guava
Greater sturgeon,3,Greater sturgeon
White sucker,3,White sucker
Sugar apple,3,Sugar apple
Pumpkinseed sunfish,3,Pumpkinseed sunfish
Swordfish,3,Swordfish
Taro,3,Taro
Teff,3,Teff
Tilefish,3,Tilefish
Mexican groundcherry,3,Mexican groundcherry
Towel gourd,3,Towel gourd
Salmonidae ,3,Salmonidae 
Turkey,3,Turkey
Cattle,3,Cattle
Walleye,3,Walleye
Alaska pollock,3,Alaska pollock
Wasabi,3,Wasabi
Wax gourd,3,Wax gourd
Whelk,3,Whelk
Coalfish pollock,3,Coalfish pollock
Broad whitefish,3,Broad whitefish
Whitefish,3,Whitefish
Whiting,3,Whiting
Wild rice,3,Wild rice
Tea leaf willow,3,Tea leaf willow
Winged bean,3,Winged bean
Yam,3,Yam
Jicama,3,Jicama
Yautia,3,Yautia
Yellowfin tuna,3,Yellowfin tuna
Yellowtail amberjack,3,Yellowtail amberjack
Pollock,3,Pollock
Albacore tuna,3,Albacore tuna
Gadus ,3,Gadus 
Atlantic halibut,3,Atlantic halibut
Pacific halibut,3,Pacific halibut
Pacific salmon,3,Pacific salmon
Smelt,3,Smelt
Clupeinae ,3,Clupeinae 
Spiny lobster,3,Spiny lobster
Snow crab,3,Snow crab
Black-eyed pea,3,Black-eyed pea
Deer,3,Deer
Macadamia nut,3,Macadamia nut
Percoidei ,3,Percoidei 
Perciformes ,3,Perciformes 
Arctic ground squirrel,3,Arctic ground squirrel
Rabbit,3,Rabbit
Domestic goat,3,Domestic goat
Beefalo,3,Beefalo
Antelope,3,Antelope
Bivalvia ,3,Bivalvia 
Squid,3,Squid
Shrimp,3,Shrimp
Crayfish,3,Crayfish
Flatfish,3,Flatfish
